Date,Ticker,Share,Price,High52
2025-07-22,ASAN,450000,14.97,27.52
2025-07-21,PETS,25000,3.5,6.6
2025-07-21,PETS,25000,3.5,6.6
2025-07-18,ASAN,447907,14.59,27.52
2025-07-18,PETS,17565,3.23,6.6
2025-07-18,PETS,17565,3.23,6.6
2025-07-17,PETS,31701,3.15,6.6
2025-07-17,PETS,31701,3.15,6.6
2025-07-16,ASAN,450000,13.98,27.52
2025-07-14,ASAN,447684,14.2,27.52
2025-07-08,STZ,2000,170.44,254.71
2025-07-08,STZ,2000,170.44,254.71
2025-07-08,ASAN,449217,14.32,27.52
2025-07-07,ORCL,480,233.87,236.82
2025-07-02,PETS,2817,3.22,6.6
2025-07-02,PETS,2817,3.22,6.6
2025-07-02,ASAN,450000,13.6,27.52
2025-07-01,PETS,694,3.21,6.6
2025-07-01,PETS,694,3.21,6.6
2025-06-30,GME,5575,23.71,35.01
